# Pos,Name,Age,Rookie Year,Pot,FIQ,Dur,Stat1,Stat2,Stat3,Contract Money, Contract Years
#AMNOR
Baltimore Ruckus,BAL
OL,Salma Wong,34,2005,63,77,90,85,84,79,1.1,2
OL,Lucie Holland,24,2015,88,62,87,76,74,83,0.8,4
OL,Kira Rich,30,2009,65,71,90,87,78,73,0.7,2
OL,Genevieve Yates,26,2013,63,67,96,89,78,72,0.6,2
OL,Bertha Hartman,33,2006,65,83,78,86,68,87,1,1
OL,Lucy Gould,23,2014,77,65,93,85,83,73,0.6,1
OL,Harley Harper,28,2010,74,71,75,86,81,74,0.8,1
K,Eve Bonilla,25,2013,62,66,92,87,88,64,0.6,1
K,Maya Kerr,25,2014,63,50,94,92,73,71,0.5,2
S,Belle Davila,25,2013,71,50,92,76,92,50,0.6,4
S,Fatimah Swanson,26,2012,75,78,95,93,88,84,6,5
CB,Tay Matthews,27,2011,84,79,88,90,90,70,10.3,4
CB,Sally O'Connor,24,2014,92,61,87,75,90,65,2,4
CB,Eden Hodge,25,2014,77,48,93,83,92,47,0.7,4
CB,Caitlin Carney,31,2007,70,93,93,87,89,69,2.5,3
CB,Gertrude Rivera,27,2011,63,64,95,74,89,40,0.6,1
CB,Halima Dickerson,28,2011,74,79,87,92,88,75,10.5,6
DL,Cora Warren,26,2012,85,70,89,68,83,67,2.8,1
DL,Kathleen Garrett,27,2011,60,71,87,75,81,67,1.8,1
DL,Edith Barron,Muhammad Wilkerson,26,2011,85,82,94,104,93,97,15.7,1
DL,Natasha Hayden,22,2015,75,50,76,77,82,69,0.6,4
DL,Kian Hoffman,27,2013,61,69,93,85,79,82,0.6,1
DL,Laila Diaz,27,2012,61,69,90,74,76,64,2.6,1
DL,Sara Miranda,26,2012,85,78,77,89,81,84,9.2,4
DL,Callie O'Brien,27,2012,80,72,87,76,86,73,5,2
LB,Eliza Cantrell,33,2005,83,93,85,93,61,94,7,3
LB,Veronica Davidson,26,2011,99,76,88,88,95,78,5.8,2
LB,Lilly Delgado,27,2012,91,73,88,78,78,68,2.1,4
LB,Hermione Richardson,25,2014,77,55,93,78,59,64,0.6,2
LB,Theresa Douglas,29,2009,77,97,95,96,80,95,8.4,4
LB,Maia Kennedy,26,2012,85,76,97,81,83,73,5.1,1
LB,Mia Hanson,25,2014,72,49,87,74,64,49,0.6,2
LB,Robin York,27,2011,65,77,85,82,79,76,1.8,2
END_PLAYERS
Green Bay Pen 15s,GB
QB,Lukas Daugherty,28,2011,84,81,96,86,79,20,16,6
QB,Lucas Ortega,24,2014,63,51,83,80,76,71,0.5,3
RB,Hassan Vang,24,2013,86,79,94,94,98,105,1,4
RB,Matt Bennett,29,2008,71,82,94,71,78,50,2.3,4
RB,Ewan Reilly,28,2011,85,55,85,60,85,80,0.8,1
WR,Arjun Stafford,30,2009,62,90,88,105,84,85,4.3,4
WR,Ruben Mays,28,2011,61,74,87,75,88,89,0.8,1
WR,Nathan Rosales,24,2015,75,49,92,74,88,77,0.6,4
WR,Rob Bird,26,2012,80,87,85,103,92,95,13,5
WR,Fergus McKinney,32,2006,80,87,93,74,73,42,4,3
WR,Joe Mclean,26,2012,90,82,96,90,90,85,2.1,4
OL,Harris Levine,24,2015,78,64,88,89,73,77,0.7,4
OL,Rhys Estes,27,2011,79,66,95,91,83,75,3.4,3
OL,Tony Fulton,26,2012,85,81,80,92,94,84,11.7,5
OL,Enzo Cohen,29,2010,65,80,89,78,72,82,0.7,1
OL,Ray Peterson,26,2012,80,75,90,83,83,80,6,3
OL,Rocco Richmond,27,2012,90,77,93,87,89,87,2,4
OL,Sonny Crane,27,2010,88,80,77,87,83,94,6.8,5
OL,Philip Ayala,26,2012,100,84,92,89,82,73,4.9,4
OL,Chester Berger,25,2014,92,75,97,89,89,96,2.2,4
K,Shane Poole,25,2014,92,75,97,89,89,96,2.2,4
K,Archie Welch,37,2003,62,84,90,89,92,64,2,2
S,Ahmad Randall,28,2009,87,83,96,87,92,76,8.8,4
S,Dave Dylan,25,2013,66,68,90,75,91,79,0.6,4
CB,Harry Doyle,24,2014,65,77,93,91,86,45,0.6,4
CB,Ian Newton,26,2014,62,62,93,77,89,75,0.5,3
CB,Lewis Gaines,32,2006,55,91,90,85,91,47,6.8,2
CB,Timothy Sears,26,2012,75,62,85,72,91,40,0.8,1
CB,Jim Dominguez,23,2014,62,47,82,82,90,60,0.5,3
CB,Jax Schaefer,25,2012,75,75,90,85,88,72,5.8,4
DL,Musa Knight,26,2012,62,75,91,83,79,82,1,1
DL,Glenn Caldwell,30,2008,76,87,93,73,76,64,7.1,4
DL,Hashim White,30,2010,68,72,88,74,67,64,3.3,3
DL,Jack Thornton,24,2015,64,53,90,75,75,81,0.5,1
DL,Ajay Melton,29,2009,63,78,86,83,84,75,3,4
DL,Oscar Conway,35,2003,65,93,88,85,78,74,1.5,1
DL,Vinny Greene,28,2011,59,73,90,73,69,70,1.3,2
DL,Antonio Duffy,30,2008,65,75,88,79,57,75,1.9,1
LB,Haroon Smith,28,2010,58,90,92,79,87,87,1.6,1
LB,Keaton Cross,29,2009,82,86,94,79,95,87,6,6
LB,Ryan Huber,24,2014,78,74,80,83,88,74,0.6,4
LB,Marcel Blevins,29,2010,83,87,73,92,93,95,7,6
LB,Declan Holmes,24,2014,102,75,85,85,93,76,3.2,4
LB,Owen Hubbard,23,2014,83,69,95,79,65,72,0.5,1
LB,Edgar Rasmussen,31,2006,74,91,91,90,74,94,5.1,5
END_PLAYERS
Minnesota Valkyries,MIN
QB,Aaliyah Mosley,35,2004,92,90,98,89,87,30,21,4
QB,Sophie Brady,23,2016,105,75,85,93,89,83,6.7,4
RB,Scarlet Bishop,2013,77,59,70,36,90,81,0.7,1
RB,Flora Pham,24,2014,82,68,94,66,86,77,0.7,4
RB,Rose Ramos,27,2012,61,66,80,56,87,72,0.7,2
RB,Tracy Moody,26,2011,84,79,83,87,85,69,4,4
WR,Vanessa Garcia,29,2009,65,78,78,77,91,87,1.6,3
WR,Lillian Sweeny,24,2015,78,51,78,77,96,77,0.6,4
WR,Cathy Trujillo,26,2012,60,78,95,78,68,45,1.9,3
WR,Frankie Farmer,22,2015,64,48,75,77,92,55,0.5,1
WR,Poppy Schwartz,27,2011,84,86,93,88,89,83,8,5
WR,Shania Mcguire,27,2011,59,85,92,88,87,86,4.3,3
OL,Beth Hanna,28,2009,72,76,97,86,82,74,1.1,2
OL,Kiara Robbins,30,2009,65,77,87,87,86,78,0.8,2
OL,Tilly Finley,25,2014,77,65,93,82,85,74,0.6,4
OL,Melody Woods,26,2012,76,69,84,86,78,70,1.4,2
OL,Jean Reed,28,2010,75,72,74,92,75,77,0.8,1
OL,Elena Hammond,28,2013,61,73,92,83,79,91,2.6,1
OL,Darcie Doyle,27,2010,98,84,93,92,85,92,13.6,5
OL,Tazia Santiago,34,2004,52,87,76,98,96,97,10.3,4
OL,Tina Mahoney,22,2015,103,57,85,95,86,82,3.6,4
OL,Olivia Johnston,26,2013,69,64,74,84,80,72,0.5,2
K,Wanda Howe,26,2012,70,78,95,104,94,70,3.3,4
K,Kristina Salas,29,2009,58,75,92,86,79,77,1.4,4
S,Gloria Walters,29,2010,59,74,87,80,85,90,1.5,1
S,Angela Mason,27,2012,80,61,74,74,87,51,0.8,1
CB,Hilda Higgins,30,2008,81,92,90,92,92,76,9.1,4
CB,Sofi Spence,24,2015,68,46,90,73,91,61,0.6,4
CB,May Greer,23,2015,93,53,94,86,89,60,2.4,4
CB,Kiara Johnson,25,2013,81,62,91,74,93,70,0.7,4
CB,Faith Erickson,29,2010,74,80,92,86,87,44,5,3
CB,Bess Bonner,21,2016,105,65,85,83,95,70,5.8,4
DL,Philippa Jarvis,30,2009,82,79,95,77,93,65,2.5,2
DL,Alicia Whitaker,23,2014,72,52,80,87,72,85,0.6,4
DL,Iqra Savage,22,2015,105,56,85,87,85,90,4.7,4
DL,Evelyn Noble,27,2011,65,68,88,90,65,77,0.8,1
DL,Karen Pena,23,2015,88,45,75,88,76,85,1.1,4
DL,Stella Calhoun,33,2006,69,95,82,90,92,91,7.4,3
DL,Sabrina Gibbons,24,2014,82,62,93,81,93,66,0.6,1
DL,Rhonda Cisneros,28,2012,80,75,91,85,71,85,3.2,4
LB,Edith Rivas,25,2012,60,78,96,90,82,86,4.8,4
LB,Fern Payne,33,2003,81,94,88,92,97,87,5.2,4
LB,Isobelle Blanchard,28,2010,59,75,93,87,59,78,3.5,3
LB,Savannah Berry,23,2015,88,65,92,64,67,70,1.1,4
LB,Nina Miller,24,2014,92,68,88,85,80,66,2.4,4
LB,Jasmin Dotson,26,2012,85,74,90,85,66,72,1.3,1
LB,Niamh Holmes,27,2011,59,80,90,83,62,78,0.8,1
LB,Carrie Powers,28,2009,57,71,87,78,52,73,1,1
END_PLAYERS
#NANEAS
Dallas Cowgirls,DAL
QB,Emma Blowgun,22,2016,99,99,90,104,107,90,10.5,5
QB,Elle Avila,26,2014,77,54,90,94,80,45,0.6,4
RB,Katy Dawson,20,2016,105,85,90,87,93,85,6.2,4
RB,Chloe Price,23,2015,88,53,82,85,93,70,0.8,4
RB,Hannah Montoya,29,2008,86,79,75,70,86,96,7.3,5
RB,Sylvia Dunlap,30,2008,74,79,85,85,82,55,0.8,1
WR,Demi Ross,23,2014,87,48,83,80,86,58,1.3,4
WR,Maxine Caulfield,23,2015,99,87,95,104,87,84,15,4
WR,Katie Acevedo,23,2015,83,48,88,76,91,65,0.7,4
WR,Lisa Conley,27,2011,80,68,79,82,85,67,0.8,1
WR,Scarlet Juarez,23,2015,93,61,78,87,91,63,2.7,4
WR,Eve Dennis,30,2008,57,89,78,88,82,87,4.1,2
OL,Samantha Mason,25,2014,82,78,78,81,86,81,0.7,4
OL,Arabella Deleon,32,2006,79,97,92,91,93,90,7.7,7
OL,Tara Carr,24,2014,64,47,92,84,82,72,0.5,2
OL,Kathleen Nolan,27,2011,89,85,87,88,85,96,11,4
OL,Kye Fuller,25,2014,62,61,90,83,86,76,0.5,3
OL,Zara Webb,24,2013,91,78,98,92,93,77,3,4
OL,Thea Dejesus,28,2010,98,87,82,88,84,89,10.6,5
OL,Faith Stone,24,2014,72,68,92,85,82,78,0.6,4
OL,Jamie Taylor,27,2013,86,69,92,84,78,72,1.2,4
OL,Zahra Norman,28,2011,84,82,88,93,87,90,7.3,5
K,Hazel Lewis,28,2011,59,84,88,103,106,69,3.2,7
K,Dorothy Blackburn,25,2012,64,55,90,90,85,72,0.5,2
S,Erica Valentine,27,2010,58,80,89,81,87,90,2.1,2
S,Autumn Mclean,27,2011,79,76,92,80,86,75,5.9,4
CB,Fay Landry,24,2015,68,46,90,73,91,61,0.6,4
CB,Danielle Rush,28,2010,65,73,88,76,89,35,0.7,1
CB,Adrianne Whitehead,25,2013,62,64,92,79,91,35,0.6,2
CB,Tanisha Gonzalez,28,2011,59,71,92,81,89,65,0.8,1
CB,Crystal Holt,24,2015,74,48,85,80,82,67,0.5,1
CB,Megan Barnes,26,2013,86,78,88,93,90,70,2,4
DL,Amina Santana,27,2010,65,80,83,86,94,82,11.3,1
DL,Gloria Todd,24,2015,89,49,74,79,82,75,0.8,4
DL,Elsie Vega,26,2013,78,50,93,69,82,83,0.6,3
DL,Faith Drake,29,2011,71,72,88,92,81,85,0.8,1
DL,Sharon Gray,26,2012,85,77,98,88,86,76,1.3,1
DL,Carly Norris,29,2010,60,74,84,84,75,77,0.8,1
DL,Ayla Ramsay,26,2011,89,83,95,90,83,85,11,5
DL,Naomi Jones,29,2010,65,83,74,83,86,69,3.8,1
LB,Gabrielle Mckee,23,2015,78,48,88,69,65,52,0.6,4
LB,Alexa Clarke,25,2012,90,77,93,83,87,72,3.3,2
LB,Cindy Nicholson,25,2012,85,86,94,97,86,90,0.8,4
LB,Stephanie Franklin,27,2011,59,70,87,86,64,72,0.8,2
LB,Casey O'Donnell,29,2009,82,86,94,79,95,87,6,6
LB,Freya Scott,28,2011,60,77,80,90,55,85,1.3,2
LB,Lass Andersen,29,2010,83,87,73,92,93,95,7,6
LB,Anne Diaz,28,2012,70,70,87,80,60,68,0.8,1
END_PLAYERS
New York Gorers,NYG
QB,Zack Bailey,30,2008,73,65,92,87,73,63,0.6,1
QB,Rusty Russell,25,2014,78,65,94,84,75,44,0.6,4
RB,Douglas Fitzgerald,22,2015,83,60,76,53,90,87,0.8,4
RB,Leo Woods,33,2006,79,87,88,44,85,81,2,2
RB,Dexter Clark,27,2009,82,87,90,59,88,84,8,5
RB,Aidan Cisneros,24,2014,62,52,89,67,90,83,0.5,3
WR,Kyle Dejesus,24,2013,86,67,84,79,92,71,0.9,4
WR,Rowan Lewis,23,2014,88,62,87,83,85,65,1.1,4
WR,Hassan Powers,24,2015,75,49,92,74,88,77,0.6,4
WR,Jonah Wall,27,2012,61,68,92,79,88,66,0.6,1
WR,Umar Osborne,22,2014,87,70,89,84,85,66,0.9,4
OL,Reginald Harris,24,2015,73,60,92,86,73,79,0.6,4
OL,Aidan Green,27,2014,63,62,90,79,73,81,0.5,2
OL,Howard McDaniel,27,2012,85,78,84,85,72,89,6.6,5
OL,Lucas Sloan,29,2010,58,81,90,89,84,71,6,5
OL,Usman Lane,27,2011,81,74,92,87,85,81,1.5,2
OL,Ronny Perez,24,2015,88,62,87,76,74,83,0.8,4
OL,Herbert Rivera,25,2014,62,71,92,73,73,76,0.6,2
OL,Farhan Quinn,27,2010,88,80,77,87,83,94,6.8,5
OL,Yusuf Francis,29,2009,97,77,88,95,85,88,3.5,1
K,Darren Steele,25,2013,72,75,92,92,89,82,0.6,4
K,Ernest Boone,25,2013,63,67,84,89,84,73,0.6,1
S,Nat Berhe,24,2014,77,44,92,71,90,80,0.6,4
S,Ed Reynolds,24,2014,78,49,85,76,90,79,0.5,2
CB,Tobias Herrera,28,2009,60,74,88,87,83,77,3,3
CB,Adam Dominguez,23,2015,88,44,85,78,88,40,1.4,4
CB,Ruben George,24,2014,65,77,93,91,86,45,0.6,4
CB,Ibrahim Bright,26,2014,62,62,93,77,89,75,0.5,3
CB,Matt O'Doherty,27,2010,78,89,91,93,89,42,6.4,4
CB,Alterraun Verner,23,2014,62,47,82,82,90,60,0.5,3
DL,Emmanuel Frank,25,2013,61,57,87,67,62,65,0.6,2
DL,Cassius Marsh,23,2014,82,53,92,66,80,69,0.7,4
DL,Kaleb Ramsey,27,2014,68,52,72,94,78,84,0.6,2
DL,Aldous Adams,22,2015,63,50,87,85,83,62,0.5,1
DL,Dale Michael,24,2014,88,62,74,82,84,83,0.6,1
DL,Callum Hebert,24,2015,83,46,88,75,69,81,0.7,4
DL,Ed Stinson,26,2014,77,56,79,88,78,83,0.6,4
LB,Claudio McGrath,26,2012,85,88,97,107,95,105,10.1,5
LB,Hau'oli Kikaha,23,2015,88,60,78,72,87,55,1.3,4
LB,Cassius Rodriguez,22,2015,88,56,93,87,64,72,2.2,4
LB,Kellen Callahan,31,2008,76,85,92,82,82,80,1,1
LB,Larry Brown,26,2013,62,69,91,80,72,69,0.6,1
LB,Martrell Spaight,22,2015,78,51,88,85,66,52,0.6,4
LB,Zach Hardy,24,2014,87,61,89,84,86,62,1.9,4
LB,Gethin Whitney,26,2012,79,76,85,87,64,74,2.6,1
END_PLAYERS
Philadelphia E-Girls,PHI
QB,Ellie-May Love,22,2016,90,65,85,94,88,50,2.4,4
QB,Barbara Bridges,29,2009,97,74,84,86,79,47,4.5,2
RB,Matilda Sandoval,23,2015,64,44,84,78,90,64,0.5,3
RB,Bethany Dickson,27,2011,84,74,82,90,81,69,0.8,1
RB,Alice Weeks,25,2014,64,49,92,75,78,42,0.5,2
RB,Lena Lloyd,25,2013,77,59,70,36,90,81,0.7,1
WR,Tabitha Duffy,25,2012,86,61,85,64,92,62,0.6,1
WR,Rhys McMahon,23,2014,87,48,83,80,86,58,1.3,4
WR,Julia Snyder,24,2014,87,66,77,82,94,76,1.2,4
WR,Gabriella Lane,26,2012,80,69,83,81,89,70,5,4
WR,Victoria Barr,25,2013,82,67,90,74,95,72,0.7,4
WR,Rina Rivera,23,2014,87,76,90,91,86,66,0.9,4
OL,Elin York,28,2010,69,74,93,83,77,76,0.9,1
OL,Livie Mays,24,2014,72,75,95,87,77,84,0.6,4
OL,Evangeline Cruz,25,2013,67,65,92,86,76,75,0.6,1
OL,Liz Molina,23,2015,93,58,93,84,82,85,2.4,4
OL,Ellie McIntosh,27,2014,63,50,88,77,71,76,0.5,2
OL,Amelia Glover,25,2014,78,55,92,89,81,69,0.6,2
OL,Marie Jarvis,29,2010,65,74,88,80,80,73,0.7,1
OL,Kiara Day,23,2014,77,65,93,85,83,73,0.6,1
OL,Casey Williams,30,2008,72,81,93,83,81,78,4.5,4
OL,Louise Warner,25,2013,64,56,87,74,91,77,0.5,2
K,Alannah Paul,34,2005,57,78,92,86,91,60,1,1
K,Jasmine Hess,26,2012,70,77,93,89,93,84,2.2,4
S,Fifi Chase,26,2014,62,57,83,72,93,85,0.5,3
S,Mae Schroeder,27,2011,79,76,92,80,86,75,5.9,4
CB,Chrsti Sharpe,22,2015,78,50,92,78,92,29,0.6,4
CB,Jori Jordan,25,2013,63,53,91,73,90,68,0.5,1
CB,Chelsea Jefferson,26,2012,61,51,92,71,90,35,2.6,1
CB,Leyla Berg,24,2015,83,45,92,79,92,62,0.7,4
CB,Toni Calderon,29,2008,81,79,76,71,92,40,4,3
CB,Isobel Noble,21,2015,84,50,84,83,89,55,0.8,4
DL,Lia Hammond,26,2014,83,55,90,87,65,67,0.7,4
DL,Lottie Ruiz,27,2012,75,82,84,78,75,82,10.3,4
DL,Amy Pearce,24,2014,64,58,94,92,78,81,0.6,1
DL,Elise Hale,27,2012,75,67,84,69,82,76,1.1,1
DL,Gracie Buck,25,2014,63,55,94,86,76,77,0.5,3
DL,Theresa Espinoza,24,2014,72,61,93,87,74,83,0.6,4
DL,Florence Diaz,29,2009,62,77,82,83,79,85,3,3
DL,Molly Terry,23,2015,78,51,84,89,79,64,0.6,4
LB,Crystal Luna,27,2012,60,68,90,76,83,73,4.5,4
LB,Hermione Rivera,26,2013,91,77,88,96,86,92,2.4,4
LB,Milly Santiago,22,2015,78,52,78,85,61,64,0.6,4
LB,Genevieve Vazquez,26,2013,71,63,72,85,53,73,0.6,4
LB,Tianna Trujillo,25,2014,63,54,90,79,64,56,0.6,2
LB,Halima Shelton,24,2015,73,62,83,83,47,75,0.6,4
LB,Raygan Carney,26,2013,65,68,77,77,71,75,0.6,1
LB,India Anderson,28,2010,78,89,87,97,81,88,9.1,5
END_PLAYERS
Washington Foreskins,WAS
QB,Austin Crane,26,2013,82,52,95,88,85,37,0.7,4
QB,Lee Wu,36,2002,50,79,80,77,73,20,3.3,2
RB,Grover Solomon,24,2015,64,38,90,71,85,78,0.5,2
RB,James Starks,30,2010,68,75,78,80,86,71,3,2
RB,Fletcher Finley,25,2013,62,54,90,86,87,66,0.6,1
WR,Curtis Shaw,25,2018,78,58,86,85,83,75,2.8,4
WR,Jonah Deleon,22,2017,81,67,89,83,85,74,2.4,4
WR,Ioan Villanueva,25,2017,67,52,83,80,80,48,0.6,4
WR,Allen Santos,27,2013,72,68,88,77,90,70,0.9,1
WR,Leroy Strickland,27,2014,70,58,87,73,84,66,0.8,1
WR,Maxim Santiago,23,2018,70,60,89,78,91,76,0.6,4
OL,Matthew Roberts,26,2016,62,55,90,80,75,72,0.6,1
OL,Trey Colon,40,2005,48,87,82,74,51,55,1.1,1
OL,Alf Curry,27,2015,71,56,86,73,69,62,1.2,1
OL,Anikan Lewis,29,2013,80,87,82,83,72,83,6.5,4
OL,Brandon Weiss,26,2016,66,61,82,85,72,71,0.5,2
OL,Courtland Pollard,24,2016,77,80,89,88,73,80,3.1,4
OL,Usman Huff,25,2016,69,74,86,83,72,74,0.6,4
OL,Denzelle Good,27,2015,69,77,72,87,72,74,0.5,1
OL,Ray Stone,25,2016,65,50,80,82,75,71,0.6,2
OL,Jordan Devey,30,2014,65,67,85,82,73,72,0.9,1
K,Luke Matthams,36,2005,83,73,90,89,93,55,2.5,3
S,Zach Donaldson,24,2017,65,54,89,74,85,54,0.6,3
S,Su'a Cravens,23,2016,76,71,88,76,85,71,1.1,4
CB,Philip Boyer,25,2016,83,87,88,82,91,63,0.6,2
CB,Kyle Rowland,23,2016,73,74,90,76,86,62,0.6,1
CB,Rashaan Melvin,29,2014,86,88,90,56,90,88,5.5,1
CB,JaMarcus Cannon,28,2013,73,72,88,68,89,72,1.5,1
CB,Josh Jackson,22,2018,75,65,92,83,90,58,1.6,4
DL,James Romero,25,2016,73,71,90,68,90,46,1.1,4
DL,Raphael Boyle,30,2010,90,92,84,97,89,92,12.6,4
DL,Keaton Yang,23,2016,64,59,85,79,73,59,0.5,3
DL,Solomon Hooper,24,2017,70,56,79,89,74,56,0.6,1
DL,Stefan Brewer,29,2012,80,82,82,81,81,82,9.0,5
DL,Datone Jones,28,2013,71,70,76,81,74,70,0.8,2
DL,Christian Long,30,2010,93,91,84,86,87,90,6.5,4
LB,Nigel Bradham,29,2012,85,84,94,82,81,77,8.0,5
LB,Zachariah Warner,26,2014,72,60,78,81,71,72,5.0,3
LB,Isaac Beck,30,2012,78,81,86,86,71,77,1.7,3
LB,Carl Nguyen,27,2012,99,99,99,98,90,88,12.4,5
LB,Glenn Sharp,25,2015,66,59,89,76,69,68,0.7,1
LB,Luis Brown,26,2015,79,79,79,79,79,79,3.6,4
END_PLAYERS
#NASOU
Atlanta Franks,ATL
QB,Amir Blumenfeld,30,2012,92,96,97,93,87,84,21.9,4
QB,Tomas Boone,25,2017,70,73,92,88,78,56,0.9,4
RB,Timothy Becker,23,2017,76,73,87,65,93,76,0.6,3
RB,Jeremy Kelly,25,2016,64,58,88,68,90,70,0.6,2
RB,Craig Boyd,23,2018,65,65,65,65,65,65,0.6,3
RB,Justin Davis,23,2017,70,52,87,61,88,82,0.6,3
WR,Marcel Contreras,23,2018,69,58,92,81,91,62,0.7,4
WR,Freddie Martino,27,2014,64,60,85,79,89,78,0.5,1
WR,Ben Waters,22,2017,79,76,93,85,91,78,0.8,4
WR,Taylor Ware,33,2007,92,98,98,97,84,66,8.6,2
WR,Caleb Casey,33,2007,82,82,93,92,93,87,2.5,3
OL,Tommylee Lewis,26,2016,65,64,91,78,91,78,0.5,3
OL,Felix Barnett,26,2014,68,68,68,68,68,68,0.7,1
OL,Tobias Hart,25,2015,84,88,91,88,91,86,2.3,4
OL,Jeremy Sprinkle,24,2017,69,65,88,77,84,65,0.7,4
OL,Fergus Patrick,24,2017,73,67,87,81,77,52,0.8,4
OL,Levine Toilolo,27,2013,73,79,86,79,76,34,1.5,1
OL,Jak Duncan,25,2018,65,65,65,65,65,65,0.5,1
OL,Mike Remmers,29,2012,76,87,84,85,74,79,6.0,5
OL,Riley Reiff,30,2012,77,86,94,85,75,80,11.8,5
K,Martin Woods,34,2007,77,59,88,94,84,68,4.0,4
K,Jared Abbott,27,2014,76,60,87,91,81,75,1.5,1
S,Nathaniel Wilkerson,25,2016,65,62,88,71,87,62,0.7,4
S,Steve Caldwell,25,2016,83,88,87,76,87,88,3.0,4
CB,Rupert Moon,24,2017,81,83,97,72,87,83,0.7,4
CB,Russell Bowers,24,2018,65,51,91,58,88,51,0.6,3
CB,Brandon Facyson,24,2018,65,51,91,58,88,51,0.6,3
CB,Junior Garner,22,2018,70,57,92,77,90,61,0.8,4
CB,Tramaine Brock,30,2010,72,69,87,91,87,64,3.0,1
DL,Abdullah Neal,25,2017,68,65,69,85,77,65,0.5,2
DL,Chris Jones,24,2016,87,90,81,89,83,90,2.2,4
DL,Derrick Nnadi,22,2018,72,65,87,87,82,65,0.9,4
DL,Margus Hunt,31,2013,77,75,79,85,84,75,2.1,2
DL,Doug Brock,29,2011,98,97,95,97,93,97,16.7,6
DL,Angelo Blackson,26,2015,70,64,73,76,76,64,1.2,1
DL,Melvin Krueger,23,2016,86,86,83,80,67,86,0.9,4
DL,Juan Duffy,29,2011,89,93,92,92,85,93,15.1,4
LB,Mohammad Thomson,25,2015,67,67,85,77,68,74,0.7,1
LB,Frankie Luvu,22,2018,68,65,78,84,85,73,0.6,3
LB,Kevin Pierre-Louis,27,2014,72,73,93,82,67,61,2.6,2
LB,Fred O'Neil,26,2015,72,67,89,84,66,72,1.9,4
LB,Mike Hull,27,2015,69,69,91,83,68,60,0.7,1
LB,Floyd Holloway,26,2016,64,56,89,78,66,63,0.6,2
END_PLAYERS
Carolina Panties,CAR
QB,Sally Richards,28,2011,84,75,95,95,78,80,19,6
QB,Lexie Estrada,33,2006,80,67,81,93,70,62,1.5,1
RB,Amira Nicholson,25,2013,61,72,84,84,87,52,1.7,1
RB,Mia Mack,25,2013,76,67,97,86,79,65,0.6,4
RB,Hana Cameron,27,2012,85,75,88,67,88,74,7.2,5
RB,Tiphanie Banks,26,2011,84,79,83,87,85,69,4,4
WR,April Patterson,25,2014,87,78,90,91,85,65,1.9,4
WR,Gloria Acevedo,24,2015,83,57,92,87,87,81,0.7,4
WR,Caroline Knight,23,2015,83,56,76,90,85,60,0.7,4
WR,Sinead Ortiz,24,2014,62,55,95,75,86,83,0.5,3
WR,Jess MacDonald,27,2012,62,74,92,82,73,49,1.7,1
WR,Emily Lamb,23,2014,92,82,94,97,92,94,2.6,4
OL,Rose Jensen,25,2015,84,52,91,79,83,62,0.5,3
OL,Deborah Small,24,2015,68,60,92,73,77,71,0.6,4
OL,Saffron Deleon,27,2010,88,80,77,87,83,94,6.8,5
OL,Liberty Hardy,25,2014,62,71,92,73,73,76,0.6,2
OL,Sapphire Cross,27,2013,91,76,89,84,83,92,2.1,4
OL,Elsie Krueger,29,2010,65,80,89,78,72,82,0.7,1
OL,Lucia Castaneda,26,2011,84,85,92,82,90,89,8.9,5
OL,Aaliyah Mahoney,25,2013,69,59,90,90,80,70,0.6,1
OL,Kelly Rich,26,2012,86,59,85,75,91,64,0.7,1
OL,Alesha Brandt,24,2015,63,55,95,84,80,70,0.5,3
K,Pippa Merrill,26,2012,70,77,93,89,93,84,2.2,4
K,Jane Villa,29,2009,67,88,95,97,92,68,2.9,5
S,Maddie Preston,27,2012,61,67,94,74,87,80,1.1,2
S,Sophia Coffey,26,2011,65,66,90,79,90,87,1.5,1
CB,Chloe Barber,25,2013,81,74,94,88,90,66,0.7,4
CB,Anastasia Owens,27,2011,80,63,94,73,93,50,0.8,1
CB,Hayley Li,24,2013,61,74,87,78,92,44,2.1,2
CB,Emma Sawyer,31,2007,70,93,93,87,89,69,2.5,3
CB,Ellie Pineda,23,2015,73,47,87,76,91,35,0.6,4
CB,Caitlyn Morrison,26,2012,90,70,85,87,91,73,2.2,4
DL,Erika Baxter,26,2011,64,72,92,84,82,78,1.2,2
DL,Sana Fox,25,2014,82,54,87,76,78,76,0.7,4
DL,Gabriella Garcia,26,2012,80,75,91,85,71,85,3.2,4
DL,Eila McCall,28,2010,63,73,88,83,82,72,0.8,1
DL,Niki Hunt,31,2006,85,81,93,72,58,75,3,4
DL,Layla Rice,26,2013,102,52,85,66,64,70,5.1,4
DL,Lindy O'Doherty,29,2009,82,83,94,93,81,93,1.8,1
DL,Sara Abbott,30,2009,58,82,90,87,81,84,3.5,3
LB,Francis Ramsey,26,2012,86,64,84,82,82,82,0.7,1
LB,Felicity Donnelly,32,2006,79,92,84,87,77,91,5.5,4
LB,Elizabeth Mann,29,2010,88,81,95,87,78,77,3,2
LB,Jill McGuire,27,2010,88,82,87,76,93,85,6.8,4
LB,Holly Stuart,23,2015,93,61,89,74,75,62,2.3,4
LB,Rosemary Rios,25,2014,92,67,87,76,73,63,2,4
LB,Annabel Dalton,26,2012,90,75,94,89,91,75,9.3,4
LB,Leah Walker,22,2015,88,66,93,84,68,71,1.2,4
END_PLAYERS
New Orleans Sirs,NO
